product_id,sku,product_name,category,subcategory,brand,base_cost,list_price,margin_pct,active_from,active_to
1,SKU-00001,Beauty Skincare Item 1,Beauty,Skincare,NeoLife,40.77,90.25,54.82,2023-01-01,
2,SKU-00002,Home Decor Item 2,Home,Decor,NeoLife,24.5,44.02,44.35,2023-01-01,
3,SKU-00003,Beauty Fragrance Item 3,Beauty,Fragrance,DataTech,143.07,175.52,18.48,2023-01-01,
4,SKU-00004,Beauty Makeup Item 4,Beauty,Makeup,NeoLife,46.41,66.66,30.38,2023-01-01,
5,SKU-00005,Electronics Accessories Item 5,Electronics,Accessories,FormuBrand,124.27,150.27,17.3,2023-01-01,
6,SKU-00006,Electronics Audio Item 6,Electronics,Audio,CloudGear,124.31,171.72,27.61,2023-01-01,
7,SKU-00007,Beauty Fragrance Item 7,Beauty,Fragrance,UrbanFit,50.39,66.4,24.12,2023-01-01,
8,SKU-00008,Fashion Accessories Item 8,Fashion,Accessories,InsightPro,105.28,207.41,49.24,2023-01-01,
9,SKU-00009,Sports Team Sports Item 9,Sports,Team Sports,DataTech,137.66,245.81,44.0,2023-01-01,
10,SKU-00010,Beauty Skincare Item 10,Beauty,Skincare,FormuBrand,193.3,435.1,55.57,2023-01-01,
11,SKU-00011,Home Kitchen Item 11,Home,Kitchen,CloudGear,50.02,75.7,33.92,2023-01-01,
12,SKU-00012,Beauty Skincare Item 12,Beauty,Skincare,FormuBrand,167.47,238.71,29.84,2023-01-01,
13,SKU-00013,Beauty Makeup Item 13,Beauty,Makeup,UrbanFit,134.19,215.41,37.7,2023-01-01,
14,SKU-00014,Books Non-Fiction Item 14,Books,Non-Fiction,DataTech,115.7,143.55,19.4,2023-01-01,
15,SKU-00015,Home Cleaning Item 15,Home,Cleaning,UrbanFit,188.2,444.77,57.69,2023-01-01,
16,SKU-00016,Books Education Item 16,Books,Education,NeoLife,106.56,261.03,59.18,2023-01-01,
17,SKU-00017,Sports Outdoor Item 17,Sports,Outdoor,FormuBrand,110.24,216.38,49.05,2023-01-01,
18,SKU-00018,Beauty Fragrance Item 18,Beauty,Fragrance,NeoLife,110.83,153.29,27.7,2023-01-01,
19,SKU-00019,Electronics Phones Item 19,Electronics,Phones,CloudGear,197.44,435.15,54.63,2023-01-01,
20,SKU-00020,Fashion Shoes Item 20,Fashion,Shoes,FormuBrand,142.84,306.77,53.44,2023-01-01,
21,SKU-00021,Fashion Men Item 21,Fashion,Men,CloudGear,185.63,379.87,51.13,2023-01-01,
22,SKU-00022,Electronics Accessories Item 22,Electronics,Accessories,UrbanFit,92.64,122.66,24.47,2023-01-01,
23,SKU-00023,Sports Team Sports Item 23,Sports,Team Sports,InsightPro,120.3,187.33,35.78,2023-01-01,
24,SKU-00024,Electronics Audio Item 24,Electronics,Audio,FormuBrand,28.32,60.24,52.99,2023-01-01,
25,SKU-00025,Sports Outdoor Item 25,Sports,Outdoor,InsightPro,51.02,78.2,34.76,2023-01-01,
26,SKU-00026,Electronics Audio Item 26,Electronics,Audio,NeoLife,88.37,108.96,18.9,2023-01-01,
27,SKU-00027,Fashion Shoes Item 27,Fashion,Shoes,NeoLife,179.67,326.64,44.99,2023-01-01,
28,SKU-00028,Beauty Makeup Item 28,Beauty,Makeup,InsightPro,32.17,63.88,49.64,2023-01-01,
29,SKU-00029,Sports Accessories Item 29,Sports,Accessories,InsightPro,188.86,373.66,49.46,2023-01-01,
30,SKU-00030,Books Comics Item 30,Books,Comics,FormuBrand,186.29,419.26,55.57,2023-01-01,
31,SKU-00031,Sports Outdoor Item 31,Sports,Outdoor,CloudGear,94.02,139.53,32.61,2023-01-01,
32,SKU-00032,Books Non-Fiction Item 32,Books,Non-Fiction,CloudGear,110.17,247.85,55.55,2023-01-01,
